hub.name,hub.type,full.address,lon,lat,zip
Port Oakland,Port,"1 Market St, Oakland, CA 94607",-122.2854,37.796529,94607
Port Long Beach,Port,"Port of Long Beach, Long Beach, CA 90802, USA",-118.216458,33.754185,90802
Port Los Angeles,Port,"Port of Los Angeles, Los Angeles, CA, USA",-118.260246,33.738009,90731
Port San Diego,Port,"687 Switzer Street, San Diego, CA 92101-7810",-117.15652,32.698997,92101
Port Redwood City,Port,"675 Seaport Blvd, Redwood City, CA 94063, USA",-122.209147,37.507674,94063
Port San Francisco,Port,"Pier 80, San Francisco, CA",-122.379575,37.750239,94124
Port Richmond,Port,"1411 Harbour Way S, Richmond, CA 94804, USA",-122.360593,37.913141,94804
Port Hueneme,Port,"333 Ponoma St, Port Hueneme, CA 93041, USA",-119.200472,34.150879,93041
Port Stockton,Port,"2201 W Washington St, Stockton, CA 95203, USA",-121.322365,37.945988,95203
Bob Hope (Burbank) Airport (BUR),Airport,"4699 W Empire Ave, Burbank, CA 91505, USA",-118.361026,34.19468,91505
Fresno Yosemite International Airport (FAT),Airport,"5175 East Clinton Way, Fresno, CA 93727",-119.720755,36.767063,93727
John Wayne / Orange County Airport (SNA),Airport,"3000 E Airway Ave, Costa Mesa, CA 92626",-117.875112,33.671815,92626
Long Beach Municipal Airport (LGB),Airport,"4600 E Spring St, Long Beach, CA 90808",-118.140487,33.812015,90808
Los Angeles International Airport (LAX),Airport,"11101 Aviation Blvd, Los Angeles, CA 90045",-118.37956,33.934391,90045
Los Angeles Ontario International Airport (ONT),Airport,"1800 East Airport Dr., Hanger 20, Ontario, CA 91786, United States",-117.617899,34.059892,91786
Norman Y. Mineta San Jose International Airport (SJC),Airport,"1521 Airport Blvd, San Jose, CA 95110, USA",-121.919236,37.359941,95110
Oakland International Airport (OAK),Airport,"1 Alan Shepard Way, Oakland, CA 94621, USA",-122.214768,37.715275,94621
Sacramento International Airport (SMF),Airport,"6701 Lindbergh Dr, Sacramento, CA 95837, USA",-121.59465,38.690255,95837
Sacramento Mather Airport (MHR),Airport,"Mather Airport, 10425 Norden Ave, Mather, CA 95655, USA",-121.297211,38.563659,95655
San Diego International Airport (SAN),Airport,"2357 Airlane Rd, San Diego, CA 92101, USA",-117.194602,32.730664,92101
San Francisco International Airport (SFO),Airport,"950 N Field Rd, South San Francisco, CA 94080, USA",-122.390152,37.636824,94080
Ames Industrial Park,Industrial Park,"1000 Ames Ave, Milpitas, CA 95035, USA",-121.889662,37.419473,95035
Arch Road Logistics Center,Industrial Park,"5445 Arch Rd, Stockton, CA 95215, USA",-121.202252,37.905358,95215
