CY,MY,FCET_type,Population.NoLoss,Population.Survived,Fleet,Hub,Age,Survival
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - BAKERSFIELD 11318,UPS CC - BAKERSFIELD 11318,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - MOJAVE 11497,UPS CC - MOJAVE 11497,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - MOJAVE 11497,UPS CC - MOJAVE 11497,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - MOJAVE 11497,UPS CC - MOJAVE 11497,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - MOJAVE 11497,UPS CC - MOJAVE 11497,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - MOJAVE 11497,UPS CC - MOJAVE 11497,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - MOJAVE 11497,UPS CC - MOJAVE 11497,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - MOJAVE 11497,UPS CC - MOJAVE 11497,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - MOJAVE 11497,UPS CC - MOJAVE 11497,7,0.93
