"CY","FCET_type","Hub","Population.Survived"
2018,"HD Transit Bus","AC Transit East Oakland Facility",0
2019,"HD Transit Bus","AC Transit East Oakland Facility",0
2020,"HD Transit Bus","AC Transit East Oakland Facility",138
2021,"HD Transit Bus","AC Transit East Oakland Facility",144
2022,"HD Transit Bus","AC Transit East Oakland Facility",143
2023,"HD Transit Bus","AC Transit East Oakland Facility",144
2024,"HD Transit Bus","AC Transit East Oakland Facility",143
2025,"HD Transit Bus","AC Transit East Oakland Facility",144
2026,"HD Transit Bus","AC Transit East Oakland Facility",144
2027,"HD Transit Bus","AC Transit East Oakland Facility",143
2028,"HD Transit Bus","AC Transit East Oakland Facility",144
2029,"HD Transit Bus","AC Transit East Oakland Facility",140
2030,"HD Transit Bus","AC Transit East Oakland Facility",141
2018,"HD Transit Bus","AC Transit Emeryville Facility",12
2019,"HD Transit Bus","AC Transit Emeryville Facility",87
2020,"HD Transit Bus","AC Transit Emeryville Facility",86
2021,"HD Transit Bus","AC Transit Emeryville Facility",145
2022,"HD Transit Bus","AC Transit Emeryville Facility",143
2023,"HD Transit Bus","AC Transit Emeryville Facility",143
2024,"HD Transit Bus","AC Transit Emeryville Facility",143
2025,"HD Transit Bus","AC Transit Emeryville Facility",144
2026,"HD Transit Bus","AC Transit Emeryville Facility",144
2027,"HD Transit Bus","AC Transit Emeryville Facility",143
2028,"HD Transit Bus","AC Transit Emeryville Facility",142
2029,"HD Transit Bus","AC Transit Emeryville Facility",141
2030,"HD Transit Bus","AC Transit Emeryville Facility",139
2018,"HD Transit Bus","AC Transit Hayward Facility",0
2019,"HD Transit Bus","AC Transit Hayward Facility",0
2020,"HD Transit Bus","AC Transit Hayward Facility",0
2021,"HD Transit Bus","AC Transit Hayward Facility",0
2022,"HD Transit Bus","AC Transit Hayward Facility",53
2023,"HD Transit Bus","AC Transit Hayward Facility",98
2024,"HD Transit Bus","AC Transit Hayward Facility",107
2025,"HD Transit Bus","AC Transit Hayward Facility",111
2026,"HD Transit Bus","AC Transit Hayward Facility",123
2027,"HD Transit Bus","AC Transit Hayward Facility",135
2028,"HD Transit Bus","AC Transit Hayward Facility",144
2029,"HD Transit Bus","AC Transit Hayward Facility",142
2030,"HD Transit Bus","AC Transit Hayward Facility",143
2018,"HD Transit Bus","AC Transit Richmond Facility",0
2019,"HD Transit Bus","AC Transit Richmond Facility",0
2020,"HD Transit Bus","AC Transit Richmond Facility",0
2021,"HD Transit Bus","AC Transit Richmond Facility",85
2022,"HD Transit Bus","AC Transit Richmond Facility",143
2023,"HD Transit Bus","AC Transit Richmond Facility",142
2024,"HD Transit Bus","AC Transit Richmond Facility",143
2025,"HD Transit Bus","AC Transit Richmond Facility",143
2026,"HD Transit Bus","AC Transit Richmond Facility",143
2027,"HD Transit Bus","AC Transit Richmond Facility",142
2028,"HD Transit Bus","AC Transit Richmond Facility",142
2029,"HD Transit Bus","AC Transit Richmond Facility",143
2030,"HD Transit Bus","AC Transit Richmond Facility",141
2018,"HD Other Drayage","Ames Industrial Park",0
2019,"HD Other Drayage","Ames Industrial Park",2
2020,"HD Other Drayage","Ames Industrial Park",5
2021,"HD Other Drayage","Ames Industrial Park",10
2022,"HD Other Drayage","Ames Industrial Park",16
2023,"HD Other Drayage","Ames Industrial Park",24
2024,"HD Other Drayage","Ames Industrial Park",34
2025,"HD Other Drayage","Ames Industrial Park",44
2026,"HD Other Drayage","Ames Industrial Park",57
2027,"HD Other Drayage","Ames Industrial Park",71
2028,"HD Other Drayage","Ames Industrial Park",87
2029,"HD Other Drayage","Ames Industrial Park",104
2030,"HD Other Drayage","Ames Industrial Park",116
2018,"HD Other Drayage","Arch Road Logistics Center",0
2019,"HD Other Drayage","Arch Road Logistics Center",2
2020,"HD Other Drayage","Arch Road Logistics Center",5
2021,"HD Other Drayage","Arch Road Logistics Center",10
2022,"HD Other Drayage","Arch Road Logistics Center",16
2023,"HD Other Drayage","Arch Road Logistics Center",24
