"Hub","CY","Daily.kgH2","hub.type","full.address","lon","lat","zip"
"AC Transit East Oakland Facility",2020,1489.20863309353,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2018,0,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2019,0,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2021,1553.95683453237,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2022,1543.1654676259,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2023,1553.95683453237,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2024,1543.1654676259,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2025,1553.95683453237,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2026,1553.95683453237,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2027,1543.1654676259,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2028,1553.95683453237,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2029,1510.79136690647,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit East Oakland Facility",2030,1521.58273381295,"Bus Yard","1100 Seminary Ave, Oakland, CA 94621, USA",-122.204458,37.760994,94621
"AC Transit Emeryville Facility",2018,129.496402877698,"Bus Yard","1147 47th St, Emeryville, CA 94608, USA",-122.282589,37.835392,94608
"AC Transit Emeryville Facility",2019,938.848920863309,"Bus Yard","1147 47th St, Emeryville, CA 94608, USA",-122.282589,37.835392,94608
"AC Transit Emeryville Facility",2020,928.057553956835,"Bus Yard","1147 47th St, Emeryville, CA 94608, USA",-122.282589,37.835392,94608
"AC Transit Emeryville Facility",2021,1564.74820143885,"Bus Yard","1147 47th St, Emeryville, CA 94608, USA",-122.282589,37.835392,94608
