"CY","zip","Daily.kgH2","country"
2018,90007,0,"USA"
2019,90007,0,"USA"
2020,90007,0,"USA"
2021,90007,0,"USA"
2022,90007,15,"USA"
2023,90007,52.5,"USA"
2024,90007,97.5,"USA"
2025,90007,150,"USA"
2026,90007,210,"USA"
2027,90007,277.5,"USA"
2028,90007,352.5,"USA"
2029,90007,427.5,"USA"
2030,90007,510,"USA"
2018,90012,0,"USA"
2019,90012,0,"USA"
2020,90012,0,"USA"
2021,90012,0,"USA"
2022,90012,0,"USA"
2023,90012,21.5827338129496,"USA"
2024,90012,118.705035971223,"USA"
2025,90012,183.453237410072,"USA"
2026,90012,312.94964028777,"USA"
2027,90012,464.028776978417,"USA"
2028,90012,625.89928057554,"USA"
2029,90012,809.352517985611,"USA"
2030,90012,992.805755395683,"USA"
2018,90015,0,"USA"
2019,90015,0,"USA"
2020,90015,0,"USA"
2021,90015,0,"USA"
2022,90015,15,"USA"
2023,90015,52.5,"USA"
2024,90015,97.5,"USA"
2025,90015,150,"USA"
2026,90015,210,"USA"
2027,90015,277.5,"USA"
2028,90015,352.5,"USA"
2029,90015,427.5,"USA"
2030,90015,510,"USA"
2018,90016,0,"USA"
2019,90016,20,"USA"
2020,90016,50,"USA"
2021,90016,100,"USA"
2022,90016,160,"USA"
2023,90016,240,"USA"
2024,90016,340,"USA"
2025,90016,440,"USA"
2026,90016,570,"USA"
2027,90016,710,"USA"
2028,90016,870,"USA"
2029,90016,1040,"USA"
2030,90016,1160,"USA"
2018,90021,0,"USA"
2019,90021,0,"USA"
2020,90021,0,"USA"
2021,90021,0,"USA"
2022,90021,0,"USA"
2023,90021,43.1654676258993,"USA"
2024,90021,237.410071942446,"USA"
2025,90021,2482.01438848921,"USA"
2026,90021,2589.92805755396,"USA"
2027,90021,2741.0071942446,"USA"
2028,90021,2902.87769784173,"USA"
2029,90021,3086.3309352518,"USA"
2030,90021,3258.9928057554,"USA"
2018,90025,0,"USA"
2019,90025,0,"USA"
2020,90025,0,"USA"
2021,90025,0,"USA"
2022,90025,15,"USA"
2023,90025,52.5,"USA"
2024,90025,97.5,"USA"
2025,90025,150,"USA"
2026,90025,210,"USA"
2027,90025,277.5,"USA"
2028,90025,352.5,"USA"
2029,90025,427.5,"USA"
2030,90025,510,"USA"
2018,90031,0,"USA"
2019,90031,0,"USA"
2020,90031,0,"USA"
2021,90031,0,"USA"
2022,90031,15,"USA"
2023,90031,52.5,"USA"
2024,90031,97.5,"USA"
2025,90031,150,"USA"
2026,90031,210,"USA"
2027,90031,277.5,"USA"
2028,90031,352.5,"USA"
2029,90031,427.5,"USA"
2030,90031,510,"USA"
2018,90033,0,"USA"
2019,90033,0,"USA"
2020,90033,0,"USA"
2021,90033,0,"USA"
2022,90033,0,"USA"
2023,90033,21.5827338129496,"USA"
2024,90033,118.705035971223,"USA"
2025,90033,183.453237410072,"USA"
2026,90033,312.94964028777,"USA"
2027,90033,464.028776978417,"USA"
2028,90033,625.89928057554,"USA"
2029,90033,809.352517985611,"USA"
2030,90033,992.805755395683,"USA"
2018,90045,0,"USA"
2019,90045,20,"USA"
2020,90045,50,"USA"
2021,90045,100,"USA"
2022,90045,175,"USA"
2023,90045,292.5,"USA"
2024,90045,437.5,"USA"
2025,90045,1150,"USA"
2026,90045,1200,"USA"
2027,90045,1277.5,"USA"
2028,90045,1342.5,"USA"
2029,90045,1417.5,"USA"
2030,90045,1480,"USA"
2018,90062,0,"USA"
2019,90062,0,"USA"
2020,90062,0,"USA"
2021,90062,0,"USA"
