FCET_type,MY,Age,MPkgH2,MPGGE,MPDGE,MJPKM
MD Package Delivery,2018,0,20,19.627085377821395,22.66928361138371,3.7260616153205666
HD Port Drayage,2018,0,15,14.720314033366046,17.001962708537782,4.968082153760755
HD Transit Bus,2018,0,13.9,13.64082433758587,15.75515210991168,5.361239734274196
HD Other Drayage,2018,0,15,14.720314033366046,17.001962708537782,4.968082153760755
MD Package Delivery,2019,0,20,19.627085377821395,22.66928361138371,3.7260616153205666
HD Port Drayage,2019,0,15,14.720314033366046,17.001962708537782,4.968082153760755
HD Transit Bus,2019,0,13.9,13.64082433758587,15.75515210991168,5.361239734274196
HD Other Drayage,2019,0,15,14.720314033366046,17.001962708537782,4.968082153760755
MD Package Delivery,2020,0,20,19.627085377821395,22.66928361138371,3.7260616153205666
HD Port Drayage,2020,0,15,14.720314033366046,17.001962708537782,4.968082153760755
HD Transit Bus,2020,0,13.9,13.64082433758587,15.75515210991168,5.361239734274196
HD Other Drayage,2020,0,15,14.720314033366046,17.001962708537782,4.968082153760755
MD Package Delivery,2021,0,20,19.627085377821395,22.66928361138371,3.7260616153205666
HD Port Drayage,2021,0,15,14.720314033366046,17.001962708537782,4.968082153760755
HD Transit Bus,2021,0,13.9,13.64082433758587,15.75515210991168,5.361239734274196
HD Other Drayage,2021,0,15,14.720314033366046,17.001962708537782,4.968082153760755
MD Package Delivery,2022,0,20,19.627085377821395,22.66928361138371,3.7260616153205666
HD Port Drayage,2022,0,15,14.720314033366046,17.001962708537782,4.968082153760755
HD Transit Bus,2022,0,13.9,13.64082433758587,15.75515210991168,5.361239734274196
HD Other Drayage,2022,0,15,14.720314033366046,17.001962708537782,4.968082153760755
MD Package Delivery,2023,0,20,19.627085377821395,22.66928361138371,3.7260616153205666
HD Port Drayage,2023,0,15,14.720314033366046,17.001962708537782,4.968082153760755
HD Transit Bus,2023,0,13.9,13.64082433758587,15.75515210991168,5.361239734274196
HD Other Drayage,2023,0,15,14.720314033366046,17.001962708537782,4.968082153760755
MD Package Delivery,2024,0,20,19.627085377821395,22.66928361138371,3.7260616153205666
HD Port Drayage,2024,0,15,14.720314033366046,17.001962708537782,4.968082153760755
HD Transit Bus,2024,0,13.9,13.64082433758587,15.75515210991168,5.361239734274196
HD Other Drayage,2024,0,15,14.720314033366046,17.001962708537782,4.968082153760755
MD Package Delivery,2025,0,20,19.627085377821395,22.66928361138371,3.7260616153205666
HD Port Drayage,2025,0,15,14.720314033366046,17.001962708537782,4.968082153760755
HD Transit Bus,2025,0,13.9,13.64082433758587,15.75515210991168,5.361239734274196
HD Other Drayage,2025,0,15,14.720314033366046,17.001962708537782,4.968082153760755
MD Package Delivery,2026,0,20,19.627085377821395,22.66928361138371,3.7260616153205666
HD Port Drayage,2026,0,15,14.720314033366046,17.001962708537782,4.968082153760755
HD Transit Bus,2026,0,13.9,13.64082433758587,15.75515210991168,5.361239734274196
HD Other Drayage,2026,0,15,14.720314033366046,17.001962708537782,4.968082153760755
MD Package Delivery,2027,0,20,19.627085377821395,22.66928361138371,3.7260616153205666
HD Port Drayage,2027,0,15,14.720314033366046,17.001962708537782,4.968082153760755
HD Transit Bus,2027,0,13.9,13.64082433758587,15.75515210991168,5.361239734274196
