"CY","FCET_type","Hub","Population.Survived"
2018,"HD Transit Bus","AC Transit East Oakland Facility",0
2019,"HD Transit Bus","AC Transit East Oakland Facility",0
2020,"HD Transit Bus","AC Transit East Oakland Facility",1
2021,"HD Transit Bus","AC Transit East Oakland Facility",2
2022,"HD Transit Bus","AC Transit East Oakland Facility",4
2023,"HD Transit Bus","AC Transit East Oakland Facility",6
2024,"HD Transit Bus","AC Transit East Oakland Facility",8
2025,"HD Transit Bus","AC Transit East Oakland Facility",11
2026,"HD Transit Bus","AC Transit East Oakland Facility",14
2027,"HD Transit Bus","AC Transit East Oakland Facility",17
2028,"HD Transit Bus","AC Transit East Oakland Facility",21
2029,"HD Transit Bus","AC Transit East Oakland Facility",25
2030,"HD Transit Bus","AC Transit East Oakland Facility",30
2018,"HD Transit Bus","AC Transit Emeryville Facility",0
2019,"HD Transit Bus","AC Transit Emeryville Facility",0
2020,"HD Transit Bus","AC Transit Emeryville Facility",1
2021,"HD Transit Bus","AC Transit Emeryville Facility",2
2022,"HD Transit Bus","AC Transit Emeryville Facility",4
2023,"HD Transit Bus","AC Transit Emeryville Facility",6
2024,"HD Transit Bus","AC Transit Emeryville Facility",8
2025,"HD Transit Bus","AC Transit Emeryville Facility",11
2026,"HD Transit Bus","AC Transit Emeryville Facility",14
2027,"HD Transit Bus","AC Transit Emeryville Facility",17
2028,"HD Transit Bus","AC Transit Emeryville Facility",21
2029,"HD Transit Bus","AC Transit Emeryville Facility",25
2030,"HD Transit Bus","AC Transit Emeryville Facility",30
2018,"HD Transit Bus","AC Transit Hayward Facility",0
2019,"HD Transit Bus","AC Transit Hayward Facility",0
2020,"HD Transit Bus","AC Transit Hayward Facility",1
2021,"HD Transit Bus","AC Transit Hayward Facility",2
2022,"HD Transit Bus","AC Transit Hayward Facility",4
2023,"HD Transit Bus","AC Transit Hayward Facility",6
2024,"HD Transit Bus","AC Transit Hayward Facility",8
2025,"HD Transit Bus","AC Transit Hayward Facility",11
2026,"HD Transit Bus","AC Transit Hayward Facility",14
2027,"HD Transit Bus","AC Transit Hayward Facility",17
2028,"HD Transit Bus","AC Transit Hayward Facility",21
2029,"HD Transit Bus","AC Transit Hayward Facility",25
2030,"HD Transit Bus","AC Transit Hayward Facility",30
2018,"HD Transit Bus","AC Transit Richmond Facility",0
2019,"HD Transit Bus","AC Transit Richmond Facility",0
2020,"HD Transit Bus","AC Transit Richmond Facility",1
2021,"HD Transit Bus","AC Transit Richmond Facility",2
2022,"HD Transit Bus","AC Transit Richmond Facility",4
2023,"HD Transit Bus","AC Transit Richmond Facility",6
2024,"HD Transit Bus","AC Transit Richmond Facility",8
2025,"HD Transit Bus","AC Transit Richmond Facility",11
2026,"HD Transit Bus","AC Transit Richmond Facility",14
2027,"HD Transit Bus","AC Transit Richmond Facility",17
2028,"HD Transit Bus","AC Transit Richmond Facility",21
2029,"HD Transit Bus","AC Transit Richmond Facility",25
2030,"HD Transit Bus","AC Transit Richmond Facility",30
2018,"HD Other Drayage","Ames Industrial Park",0
2019,"HD Other Drayage","Ames Industrial Park",0
2020,"HD Other Drayage","Ames Industrial Park",1
2021,"HD Other Drayage","Ames Industrial Park",2
2022,"HD Other Drayage","Ames Industrial Park",4
2023,"HD Other Drayage","Ames Industrial Park",6
2024,"HD Other Drayage","Ames Industrial Park",8
2025,"HD Other Drayage","Ames Industrial Park",11
2026,"HD Other Drayage","Ames Industrial Park",14
2027,"HD Other Drayage","Ames Industrial Park",18
2028,"HD Other Drayage","Ames Industrial Park",22
2029,"HD Other Drayage","Ames Industrial Park",26
2030,"HD Other Drayage","Ames Industrial Park",31
2018,"HD Other Drayage","Arch Road Logistics Center",0
2019,"HD Other Drayage","Arch Road Logistics Center",0
2020,"HD Other Drayage","Arch Road Logistics Center",1
2021,"HD Other Drayage","Arch Road Logistics Center",2
2022,"HD Other Drayage","Arch Road Logistics Center",4
2023,"HD Other Drayage","Arch Road Logistics Center",6
