"CY","zip","Daily.kgH2","country"
2018,90007,0,"USA"
2019,90007,0,"USA"
2020,90007,0,"USA"
2021,90007,0,"USA"
2022,90007,0,"USA"
2023,90007,0,"USA"
2024,90007,0,"USA"
2025,90007,7.5,"USA"
2026,90007,22.5,"USA"
2027,90007,37.5,"USA"
2028,90007,52.5,"USA"
2029,90007,75,"USA"
2030,90007,97.5,"USA"
2018,90012,0,"USA"
2019,90012,0,"USA"
2020,90012,10.7913669064748,"USA"
2021,90012,21.5827338129496,"USA"
2022,90012,43.1654676258993,"USA"
2023,90012,64.7482014388489,"USA"
2024,90012,86.3309352517986,"USA"
2025,90012,118.705035971223,"USA"
2026,90012,151.079136690647,"USA"
2027,90012,183.453237410072,"USA"
2028,90012,226.618705035971,"USA"
2029,90012,269.784172661871,"USA"
2030,90012,323.741007194245,"USA"
2018,90015,0,"USA"
2019,90015,0,"USA"
2020,90015,0,"USA"
2021,90015,0,"USA"
2022,90015,0,"USA"
2023,90015,0,"USA"
2024,90015,0,"USA"
2025,90015,7.5,"USA"
2026,90015,22.5,"USA"
2027,90015,37.5,"USA"
2028,90015,52.5,"USA"
2029,90015,75,"USA"
2030,90015,97.5,"USA"
2018,90016,0,"USA"
2019,90016,0,"USA"
2020,90016,10,"USA"
2021,90016,20,"USA"
2022,90016,40,"USA"
2023,90016,60,"USA"
2024,90016,80,"USA"
2025,90016,110,"USA"
2026,90016,140,"USA"
2027,90016,180,"USA"
2028,90016,220,"USA"
2029,90016,260,"USA"
2030,90016,310,"USA"
2018,90021,0,"USA"
2019,90021,0,"USA"
2020,90021,21.5827338129496,"USA"
2021,90021,43.1654676258993,"USA"
2022,90021,86.3309352517986,"USA"
2023,90021,129.496402877698,"USA"
2024,90021,172.661870503597,"USA"
2025,90021,237.410071942446,"USA"
2026,90021,302.158273381295,"USA"
2027,90021,366.906474820144,"USA"
2028,90021,453.237410071942,"USA"
2029,90021,539.568345323741,"USA"
2030,90021,647.482014388489,"USA"
2018,90025,0,"USA"
2019,90025,0,"USA"
2020,90025,0,"USA"
2021,90025,0,"USA"
2022,90025,0,"USA"
2023,90025,0,"USA"
2024,90025,0,"USA"
2025,90025,7.5,"USA"
2026,90025,22.5,"USA"
2027,90025,37.5,"USA"
2028,90025,52.5,"USA"
2029,90025,75,"USA"
2030,90025,97.5,"USA"
2018,90031,0,"USA"
2019,90031,0,"USA"
2020,90031,0,"USA"
2021,90031,0,"USA"
2022,90031,0,"USA"
2023,90031,0,"USA"
2024,90031,0,"USA"
2025,90031,7.5,"USA"
2026,90031,22.5,"USA"
2027,90031,37.5,"USA"
2028,90031,52.5,"USA"
2029,90031,75,"USA"
2030,90031,97.5,"USA"
2018,90033,0,"USA"
2019,90033,0,"USA"
2020,90033,10.7913669064748,"USA"
2021,90033,21.5827338129496,"USA"
2022,90033,43.1654676258993,"USA"
2023,90033,64.7482014388489,"USA"
2024,90033,86.3309352517986,"USA"
2025,90033,118.705035971223,"USA"
2026,90033,151.079136690647,"USA"
2027,90033,183.453237410072,"USA"
2028,90033,226.618705035971,"USA"
2029,90033,269.784172661871,"USA"
2030,90033,323.741007194245,"USA"
2018,90045,0,"USA"
2019,90045,0,"USA"
2020,90045,10,"USA"
2021,90045,20,"USA"
2022,90045,40,"USA"
2023,90045,60,"USA"
2024,90045,80,"USA"
2025,90045,117.5,"USA"
2026,90045,162.5,"USA"
2027,90045,217.5,"USA"
2028,90045,272.5,"USA"
2029,90045,335,"USA"
2030,90045,407.5,"USA"
2018,90062,0,"USA"
