route_id,node_seq,node_id
1,1,1
1,2,76
1,3,75
1,4,2
1,5,74
1,6,73
1,7,72
1,8,71
1,9,3
1,10,11
1,11,40
1,12,12
2,1,1
2,2,76
2,3,75
2,4,2
2,5,74
2,6,73
2,7,72
2,8,71
2,9,3
2,10,11
2,11,40
2,12,12
2,13,13
3,1,1
3,2,76
3,3,75
3,4,2
3,5,74
3,6,73
3,7,72
3,8,71
3,9,3
3,10,11
3,11,40
3,12,12
3,13,13
3,14,14
4,1,1
4,2,76
4,3,75
4,4,2
4,5,74
4,6,73
4,7,72
4,8,71
4,9,3
4,10,11
4,11,40
4,12,12
4,13,13
4,14,14
4,15,15
5,1,1
5,2,76
5,3,75
5,4,2
5,5,74
5,6,73
5,7,72
5,8,71
5,9,3
5,10,11
5,11,40
5,12,12
5,13,13
5,14,14
5,15,15
5,16,16
6,1,1
6,2,76
6,3,75
6,4,2
6,5,74
6,6,73
6,7,72
6,8,71
6,9,3
6,10,11
6,11,40
6,12,12
6,13,13
6,14,18
6,15,17
7,1,1
7,2,76
7,3,75
7,4,2
7,5,74
7,6,73
7,7,72
7,8,71
7,9,3
7,10,11
7,11,40
7,12,12
7,13,13
7,14,18
8,1,1
8,2,76
8,3,75
8,4,2
8,5,74
8,6,73
8,7,72
8,8,71
8,9,3
8,10,4
8,11,5
8,12,6
8,13,49
8,14,19
9,1,1
9,2,76
9,3,75
9,4,2
10,1,1
10,2,76
10,3,75
10,4,2
10,5,74
10,6,73
10,7,72
10,8,71
10,9,3
10,10,4
10,11,5
10,12,6
10,13,49
10,14,19
10,15,50
10,16,23
10,17,51
10,18,24
10,19,52
10,20,53
10,21,54
10,22,25
11,1,1
11,2,76
11,3,75
11,4,2
11,5,74
11,6,73
11,7,72
11,8,71
11,9,3
11,10,4
11,11,5
11,12,6
11,13,49
11,14,19
11,15,20
11,16,21
11,17,43
11,18,44
11,19,45
11,20,46
11,21,47
11,22,48
11,23,22
11,24,67
11,25,68
11,26,27
11,27,28
11,28,29
12,1,1
12,2,76
12,3,75
12,4,2
12,5,74
12,6,73
12,7,72
12,8,71
12,9,3
12,10,4
12,11,5
12,12,6
12,13,49
12,14,19
12,15,20
12,16,21
12,17,43
12,18,44
12,19,45
12,20,46
12,21,47
12,22,48
12,23,22
12,24,67
12,25,68
12,26,27
12,27,38
12,28,35
12,29,34
12,30,32
12,31,31
13,1,1
13,2,76
13,3,75
13,4,2
13,5,74
13,6,73
13,7,72
13,8,71
13,9,3
13,10,4
13,11,5
13,12,6
13,13,49
13,14,19
13,15,20
13,16,21
13,17,43
13,18,44
13,19,45
13,20,46
13,21,47
13,22,48
13,23,22
13,24,67
13,25,68
13,26,27
13,27,38
13,28,35
13,29,34
13,30,33
14,1,1
14,2,76
14,3,75
14,4,2
14,5,74
14,6,73
14,7,72
14,8,71
14,9,3
14,10,4
14,11,5
14,12,6
14,13,49
14,14,19
14,15,20
14,16,21
14,17,43
14,18,44
14,19,45
14,20,46
14,21,47
14,22,48
14,23,22
14,24,67
14,25,68
14,26,27
14,27,38
14,28,35
15,1,1
15,2,76
15,3,75
15,4,2
15,5,74
15,6,73
15,7,72
15,8,71
15,9,3
15,10,4
15,11,5
15,12,6
15,13,49
15,14,19
15,15,20
15,16,21
15,17,43
15,18,44
15,19,45
15,20,46
15,21,47
15,22,48
15,23,22
15,24,67
15,25,68
15,26,27
15,27,38
15,28,35
15,29,34
15,30,36
15,31,37
16,1,1
16,2,76
16,3,75
16,4,2
16,5,74
16,6,73
16,7,72
16,8,71
16,9,3
16,10,4
16,11,5
16,12,6
16,13,49
16,14,19
16,15,20
16,16,21
16,17,43
16,18,44
16,19,45
16,20,46
16,21,47
16,22,48
16,23,22
16,24,67
16,25,68
16,26,27
16,27,38
16,28,35
16,29,34
16,30,33
16,31,70
16,32,39
17,1,1
17,2,76
17,3,75
17,4,2
17,5,74
17,6,73
17,7,72
17,8,71
17,9,3
17,10,4
17,11,5
18,1,1
18,2,76
18,3,75
18,4,2
18,5,74
18,6,73
18,7,72
18,8,71
18,9,3
18,10,4
18,11,5
18,12,6
19,1,1
19,2,76
19,3,75
19,4,2
19,5,74
19,6,73
19,7,72
19,8,71
19,9,3
19,10,4
19,11,5
19,12,6
19,13,7
20,1,12
20,2,40
20,3,11
20,4,3
20,5,71
20,6,72
20,7,73
20,8,74
20,9,2
20,10,75
20,11,76
20,12,1
21,1,12
21,2,13
22,1,12
22,2,13
22,3,14
23,1,12
23,2,13
23,3,14
23,4,15
24,1,12
24,2,13
24,3,14
24,4,15
24,5,16
25,1,12
25,2,13
25,3,18
25,4,17
26,1,12
26,2,13
26,3,18
27,1,12
27,2,13
27,3,18
27,4,20
27,5,19
28,1,12
28,2,40
28,3,11
28,4,3
28,5,71
28,6,72
28,7,73
28,8,74
28,9,2
29,1,12
29,2,13
29,3,18
29,4,20
29,5,19
29,6,50
29,7,23
29,8,51
29,9,24
29,10,52
29,11,53
29,12,54
29,13,25
30,1,12
30,2,13
30,3,18
30,4,17
30,5,42
30,6,21
30,7,43
30,8,44
30,9,45
30,10,46
30,11,47
30,12,48
30,13,22
30,14,67
30,15,68
30,16,27
30,17,28
30,18,29
31,1,12
31,2,13
31,3,18
31,4,17
31,5,42
31,6,21
31,7,43
31,8,44
31,9,45
31,10,46
31,11,47
31,12,48
31,13,22
31,14,67
31,15,68
31,16,27
31,17,38
31,18,35
31,19,34
31,20,32
31,21,31
32,1,12
32,2,13
32,3,18
32,4,17
32,5,42
32,6,21
32,7,43
32,8,44
32,9,45
32,10,46
32,11,47
32,12,48
32,13,22
32,14,67
32,15,68
32,16,27
32,17,38
32,18,35
32,19,34
32,20,33
33,1,12
33,2,13
33,3,18
33,4,17
33,5,42
33,6,21
33,7,43
33,8,44
33,9,45
33,10,46
33,11,47
33,12,48
33,13,22
33,14,67
33,15,68
33,16,27
33,17,38
33,18,35
34,1,12
34,2,13
34,3,18
34,4,17
34,5,42
34,6,21
34,7,43
34,8,44
34,9,45
34,10,46
34,11,47
34,12,48
34,13,22
34,14,67
34,15,68
34,16,27
34,17,38
34,18,35
34,19,34
34,20,36
34,21,37
35,1,12
35,2,13
35,3,18
35,4,17
35,5,42
35,6,21
35,7,43
35,8,44
35,9,45
35,10,46
35,11,47
35,12,48
35,13,22
35,14,67
35,15,68
35,16,27
35,17,38
35,18,35
35,19,34
35,20,33
35,21,70
35,22,39
36,1,12
36,2,40
36,3,11
36,4,10
36,5,4
36,6,5
37,1,12
37,2,40
37,3,11
37,4,10
37,5,6
38,1,12
38,2,40
38,3,11
38,4,10
38,5,6
38,6,7
39,1,13
39,2,12
39,3,40
39,4,11
39,5,3
39,6,71
39,7,72
39,8,73
39,9,74
39,10,2
39,11,75
39,12,76
39,13,1
40,1,13
40,2,12
41,1,13
41,2,14
42,1,13
42,2,14
42,3,15
43,1,13
43,2,14
43,3,15
43,4,16
44,1,13
44,2,18
44,3,17
45,1,13
45,2,18
46,1,13
46,2,18
46,3,20
46,4,19
47,1,13
47,2,12
47,3,40
47,4,11
47,5,3
47,6,71
47,7,72
47,8,73
47,9,74
47,10,2
48,1,13
48,2,18
48,3,20
48,4,19
48,5,50
48,6,23
48,7,51
48,8,24
48,9,52
48,10,53
48,11,54
48,12,25
49,1,13
49,2,18
49,3,17
49,4,42
49,5,21
49,6,43
49,7,44
49,8,45
49,9,46
49,10,47
49,11,48
49,12,22
49,13,67
49,14,68
49,15,27
49,16,28
49,17,29
50,1,13
50,2,18
50,3,17
50,4,42
50,5,21
50,6,43
50,7,44
50,8,45
50,9,46
50,10,47
50,11,48
50,12,22
50,13,67
50,14,68
50,15,27
50,16,38
50,17,35
50,18,34
50,19,32
50,20,31
51,1,13
51,2,18
51,3,17
51,4,42
51,5,21
51,6,43
51,7,44
51,8,45
51,9,46
51,10,47
51,11,48
51,12,22
51,13,67
51,14,68
51,15,27
51,16,38
51,17,35
51,18,34
51,19,33
52,1,13
52,2,18
52,3,17
52,4,42
52,5,21
52,6,43
52,7,44
52,8,45
52,9,46
52,10,47
52,11,48
52,12,22
52,13,67
52,14,68
52,15,27
52,16,38
52,17,35
53,1,13
53,2,18
53,3,17
53,4,42
53,5,21
53,6,43
53,7,44
53,8,45
53,9,46
53,10,47
53,11,48
53,12,22
53,13,67
53,14,68
53,15,27
53,16,38
53,17,35
53,18,34
53,19,36
53,20,37
54,1,13
54,2,18
54,3,17
54,4,42
54,5,21
54,6,43
54,7,44
54,8,45
54,9,46
54,10,47
54,11,48
54,12,22
54,13,67
54,14,68
54,15,27
54,16,38
54,17,35
54,18,34
54,19,33
54,20,70
54,21,39
55,1,13
55,2,12
55,3,40
55,4,11
55,5,10
55,6,4
55,7,5
56,1,13
56,2,12
56,3,40
56,4,11
56,5,10
56,6,6
57,1,13
57,2,12
57,3,40
57,4,11
57,5,10
57,6,6
57,7,7
58,1,14
58,2,13
58,3,12
58,4,40
58,5,11
58,6,3
58,7,71
58,8,72
58,9,73
58,10,74
58,11,2
58,12,75
58,13,76
58,14,1
59,1,14
59,2,13
59,3,12
60,1,14
60,2,13
61,1,14
61,2,15
62,1,14
62,2,15
62,3,16
63,1,14
63,2,15
63,3,16
63,4,41
63,5,17
64,1,14
64,2,13
64,3,18
65,1,14
65,2,13
65,3,18
65,4,20
65,5,19
66,1,14
66,2,13
66,3,12
66,4,40
66,5,11
66,6,3
66,7,71
66,8,72
66,9,73
66,10,74
66,11,2
67,1,14
67,2,13
67,3,18
67,4,20
67,5,19
67,6,50
67,7,23
67,8,51
67,9,24
67,10,52
67,11,53
67,12,54
67,13,25
68,1,14
68,2,15
68,3,16
68,4,41
68,5,17
68,6,42
68,7,21
68,8,43
68,9,44
68,10,45
68,11,46
68,12,47
68,13,48
68,14,22
68,15,67
68,16,68
68,17,27
68,18,28
68,19,29
69,1,14
69,2,15
69,3,16
69,4,41
69,5,17
69,6,42
69,7,21
69,8,43
69,9,44
69,10,45
69,11,46
69,12,47
69,13,48
69,14,22
69,15,67
69,16,68
69,17,27
69,18,38
69,19,35
69,20,34
69,21,32
69,22,31
70,1,14
70,2,15
70,3,16
70,4,41
70,5,17
70,6,42
70,7,21
70,8,43
70,9,44
70,10,45
70,11,46
70,12,47
70,13,48
70,14,22
70,15,67
70,16,68
70,17,27
70,18,38
70,19,35
70,20,34
70,21,33
71,1,14
71,2,15
71,3,16
71,4,41
71,5,17
71,6,42
71,7,21
71,8,43
71,9,44
71,10,45
71,11,46
71,12,47
71,13,48
71,14,22
71,15,67
71,16,68
71,17,27
71,18,38
71,19,35
72,1,14
72,2,15
72,3,16
72,4,41
72,5,17
72,6,42
72,7,21
72,8,43
72,9,44
72,10,45
72,11,46
