from_node_id,to_node_id,dist_km
1,1,0
2,1,48
3,1,201
4,1,227
5,1,242
6,1,259
7,1,293
8,1,287
9,1,322
10,1,248
11,1,258
12,1,322
13,1,340
14,1,359
15,1,362
16,1,378
17,1,404
18,1,365
19,1,333
20,1,355
21,1,445
22,1,739
23,1,383
24,1,445
25,1,534
26,1,714
27,1,838
28,1,869
29,1,882
31,1,919
32,1,907
33,1,947
34,1,885
35,1,880
36,1,890
37,1,949
38,1,847
39,1,1074
40,1,300
41,1,390
42,1,456
43,1,501
44,1,556
45,1,579
46,1,596
47,1,645
48,1,679
49,1,311
50,1,365
51,1,421
52,1,479
53,1,491
54,1,520
55,1,544
56,1,555
57,1,564
58,1,579
59,1,594
60,1,615
61,1,630
62,1,639
63,1,648
64,1,656
65,1,689
66,1,730
67,1,763
68,1,810
69,1,963
70,1,1010
71,1,121
72,1,96
73,1,81
74,1,78
75,1,26
76,1,9
1,2,48
2,2,0
3,2,153
4,2,179
5,2,194
6,2,211
7,2,245
8,2,239
9,2,274
10,2,200
11,2,210
12,2,274
13,2,292
14,2,311
15,2,314
16,2,330
17,2,356
18,2,317
19,2,285
20,2,307
21,2,397
22,2,691
23,2,335
24,2,397
25,2,486
26,2,666
27,2,790
28,2,821
29,2,834
31,2,871
32,2,859
33,2,899
34,2,837
35,2,832
36,2,842
37,2,901
38,2,799
39,2,1026
40,2,252
41,2,342
42,2,408
43,2,453
44,2,508
45,2,531
46,2,548
47,2,597
48,2,631
49,2,263
50,2,317
51,2,373
52,2,431
53,2,443
54,2,472
55,2,496
56,2,507
57,2,516
58,2,531
59,2,546
60,2,567
61,2,582
62,2,591
63,2,600
64,2,608
65,2,641
66,2,682
67,2,715
68,2,762
69,2,915
70,2,962
71,2,73
72,2,48
73,2,33
74,2,30
75,2,22
76,2,39
1,3,201
2,3,153
3,3,0
4,3,26
5,3,41
6,3,58
7,3,92
8,3,86
9,3,121
10,3,47
11,3,57
12,3,121
13,3,139
14,3,158
15,3,161
16,3,177
17,3,203
18,3,164
19,3,132
20,3,154
21,3,244
22,3,538
23,3,182
24,3,244
25,3,333
26,3,513
27,3,637
28,3,668
29,3,681
31,3,718
32,3,706
33,3,746
34,3,684
35,3,679
36,3,689
37,3,748
38,3,646
39,3,873
40,3,99
41,3,189
42,3,255
43,3,300
44,3,355
45,3,378
46,3,395
47,3,444
48,3,478
49,3,110
50,3,164
51,3,220
52,3,278
53,3,290
54,3,319
55,3,343
56,3,354
57,3,363
58,3,378
59,3,393
60,3,414
61,3,429
62,3,438
63,3,447
64,3,455
65,3,488
66,3,529
67,3,562
68,3,609
69,3,762
70,3,809
71,3,80
72,3,105
73,3,120
74,3,123
75,3,175
76,3,192
1,4,227
2,4,179
3,4,26
4,4,0
5,4,15
6,4,32
7,4,66
8,4,60
9,4,95
10,4,21
11,4,44
12,4,108
13,4,126
14,4,145
15,4,148
16,4,164
17,4,190
18,4,151
19,4,106
20,4,128
21,4,218
22,4,512
23,4,156
24,4,218
25,4,307
26,4,487
27,4,611
28,4,642
29,4,655
31,4,692
32,4,680
33,4,720
34,4,658
35,4,653
