path_id,orig_node_id,dest_node_id,node_seq,node_id
0,13,18,0,13
0,13,18,1,18
1,18,13,0,18
1,18,13,1,13
2,12,13,0,12
2,12,13,1,13
3,12,18,0,12
3,12,18,1,13
3,12,18,2,18
4,25,13,0,25
4,25,13,1,54
4,25,13,2,53
4,25,13,3,52
4,25,13,4,24
4,25,13,5,51
4,25,13,6,23
4,25,13,7,50
4,25,13,8,19
4,25,13,9,20
4,25,13,10,18
4,25,13,11,13
5,25,18,0,25
5,25,18,1,54
5,25,18,2,53
5,25,18,3,52
5,25,18,4,24
5,25,18,5,51
5,25,18,6,23
5,25,18,7,50
5,25,18,8,19
5,25,18,9,20
5,25,18,10,18
6,29,13,0,29
6,29,13,1,28
6,29,13,2,27
6,29,13,3,68
6,29,13,4,67
6,29,13,5,22
6,29,13,6,48
6,29,13,7,47
6,29,13,8,46
6,29,13,9,45
6,29,13,10,44
6,29,13,11,43
6,29,13,12,21
6,29,13,13,42
6,29,13,14,17
6,29,13,15,18
6,29,13,16,13
7,29,18,0,29
7,29,18,1,28
7,29,18,2,27
7,29,18,3,68
7,29,18,4,67
7,29,18,5,22
7,29,18,6,48
7,29,18,7,47
7,29,18,8,46
7,29,18,9,45
7,29,18,10,44
7,29,18,11,43
7,29,18,12,21
7,29,18,13,42
7,29,18,14,17
7,29,18,15,18
8,31,13,0,31
8,31,13,1,32
8,31,13,2,34
8,31,13,3,35
8,31,13,4,38
8,31,13,5,27
8,31,13,6,68
8,31,13,7,67
8,31,13,8,22
8,31,13,9,48
8,31,13,10,47
8,31,13,11,46
8,31,13,12,45
8,31,13,13,44
8,31,13,14,43
8,31,13,15,21
8,31,13,16,42
8,31,13,17,17
8,31,13,18,18
8,31,13,19,13
9,31,18,0,31
9,31,18,1,32
9,31,18,2,34
9,31,18,3,35
9,31,18,4,38
9,31,18,5,27
9,31,18,6,68
9,31,18,7,67
9,31,18,8,22
9,31,18,9,48
9,31,18,10,47
9,31,18,11,46
9,31,18,12,45
9,31,18,13,44
9,31,18,14,43
9,31,18,15,21
9,31,18,16,42
9,31,18,17,17
9,31,18,18,18
10,35,13,0,35
10,35,13,1,38
10,35,13,2,27
10,35,13,3,68
10,35,13,4,67
10,35,13,5,22
10,35,13,6,48
10,35,13,7,47
10,35,13,8,46
10,35,13,9,45
10,35,13,10,44
10,35,13,11,43
10,35,13,12,21
10,35,13,13,42
10,35,13,14,17
10,35,13,15,18
10,35,13,16,13
11,35,18,0,35
11,35,18,1,38
11,35,18,2,27
11,35,18,3,68
11,35,18,4,67
11,35,18,5,22
11,35,18,6,48
11,35,18,7,47
11,35,18,8,46
11,35,18,9,45
11,35,18,10,44
11,35,18,11,43
11,35,18,12,21
11,35,18,13,42
11,35,18,14,17
11,35,18,15,18
12,33,13,0,33
12,33,13,1,34
12,33,13,2,35
12,33,13,3,38
12,33,13,4,27
12,33,13,5,68
12,33,13,6,67
12,33,13,7,22
12,33,13,8,48
12,33,13,9,47
12,33,13,10,46
12,33,13,11,45
12,33,13,12,44
12,33,13,13,43
12,33,13,14,21
12,33,13,15,42
12,33,13,16,17
12,33,13,17,18
12,33,13,18,13
13,33,18,0,33
13,33,18,1,34
13,33,18,2,35
13,33,18,3,38
13,33,18,4,27
13,33,18,5,68
13,33,18,6,67
13,33,18,7,22
13,33,18,8,48
13,33,18,9,47
13,33,18,10,46
13,33,18,11,45
13,33,18,12,44
13,33,18,13,43
13,33,18,14,21
13,33,18,15,42
13,33,18,16,17
13,33,18,17,18
14,7,13,0,7
14,7,13,1,6
14,7,13,2,10
14,7,13,3,11
14,7,13,4,40
14,7,13,5,12
14,7,13,6,13
15,7,18,0,7
15,7,18,1,6
15,7,18,2,10
15,7,18,3,11
15,7,18,4,40
15,7,18,5,12
15,7,18,6,13
15,7,18,7,18
16,5,13,0,5
16,5,13,1,4
16,5,13,2,10
16,5,13,3,11
16,5,13,4,40
16,5,13,5,12
16,5,13,6,13
17,5,18,0,5
17,5,18,1,4
17,5,18,2,10
17,5,18,3,11
17,5,18,4,40
17,5,18,5,12
17,5,18,6,13
17,5,18,7,18
18,6,13,0,6
18,6,13,1,10
18,6,13,2,11
18,6,13,3,40
18,6,13,4,12
18,6,13,5,13
19,6,18,0,6
19,6,18,1,10
19,6,18,2,11
19,6,18,3,40
19,6,18,4,12
19,6,18,5,13
19,6,18,6,18
20,37,13,0,37
20,37,13,1,36
20,37,13,2,34
20,37,13,3,35
20,37,13,4,38
20,37,13,5,27
20,37,13,6,68
20,37,13,7,67
20,37,13,8,22
20,37,13,9,48
20,37,13,10,47
20,37,13,11,46
20,37,13,12,45
20,37,13,13,44
20,37,13,14,43
20,37,13,15,21
20,37,13,16,42
20,37,13,17,17
20,37,13,18,18
20,37,13,19,13
21,37,18,0,37
21,37,18,1,36
21,37,18,2,34
21,37,18,3,35
21,37,18,4,38
21,37,18,5,27
21,37,18,6,68
21,37,18,7,67
21,37,18,8,22
21,37,18,9,48
21,37,18,10,47
21,37,18,11,46
21,37,18,12,45
21,37,18,13,44
21,37,18,14,43
21,37,18,15,21
21,37,18,16,42
21,37,18,17,17
21,37,18,18,18
22,39,13,0,39
22,39,13,1,70
22,39,13,2,33
22,39,13,3,34
22,39,13,4,35
22,39,13,5,38
22,39,13,6,27
22,39,13,7,68
22,39,13,8,67
22,39,13,9,22
22,39,13,10,48
22,39,13,11,47
22,39,13,12,46
22,39,13,13,45
22,39,13,14,44
22,39,13,15,43
22,39,13,16,21
22,39,13,17,42
22,39,13,18,17
22,39,13,19,18
22,39,13,20,13
23,39,18,0,39
23,39,18,1,70
23,39,18,2,33
23,39,18,3,34
23,39,18,4,35
23,39,18,5,38
23,39,18,6,27
23,39,18,7,68
23,39,18,8,67
23,39,18,9,22
23,39,18,10,48
23,39,18,11,47
23,39,18,12,46
23,39,18,13,45
23,39,18,14,44
23,39,18,15,43
23,39,18,16,21
23,39,18,17,42
23,39,18,18,17
23,39,18,19,18
24,14,13,0,14
24,14,13,1,13
25,14,18,0,14
25,14,18,1,13
25,14,18,2,18
26,15,13,0,15
26,15,13,1,14
26,15,13,2,13
27,15,18,0,15
27,15,18,1,14
27,15,18,2,13
27,15,18,3,18
28,19,13,0,19
