path_id,refuel_at,fuel_km
6,67,519.0
6,21,318.0
7,67,519.0
7,21,318.0
8,67,556.0
8,21,318.0
9,67,556.0
9,21,318.0
10,67,517.0
10,21,318.0
11,21,318.0
11,67,517.0
12,67,584.0
12,21,318.0
13,67,584.0
13,21,318.0
20,67,586.0
20,21,318.0
21,67,586.0
21,21,318.0
22,67,711.0
22,21,318.0
23,21,318.0
23,67,711.0
34,3,601.0
35,3,601.0
36,3,553.0
37,3,553.0
41,67,519.0
41,21,318.0
42,67,556.0
42,21,318.0
43,67,517.0
43,21,318.0
44,21,318.0
44,67,584.0
48,67,586.0
48,21,318.0
49,67,711.0
49,21,318.0
55,3,601.0
56,3,553.0
60,67,519.0
61,67,556.0
62,67,517.0
63,67,584.0
67,67,586.0
68,67,711.0
74,3,601.0
75,3,553.0
76,21,582.0
76,67,318.0
77,21,582.0
77,67,318.0
78,21,582.0
78,67,318.0
79,21,557.0
79,67,318.0
80,21,557.0
80,67,318.0
81,67,318.0
81,21,557.0
82,21,600.0
82,67,318.0
83,21,600.0
83,67,318.0
84,21,600.0
84,67,318.0
85,67,643.0
86,67,643.0
87,67,643.0
97,67,318.0
97,21,620.0
98,67,318.0
98,21,620.0
99,21,620.0
99,67,318.0
100,21,603.0
100,67,318.0
101,21,603.0
101,67,318.0
102,21,603.0
102,67,318.0
103,21,586.0
103,67,318.0
104,67,318.0
104,21,586.0
105,21,586.0
105,67,318.0
112,21,591.0
112,67,318.0
113,21,591.0
113,67,318.0
114,21,591.0
114,67,318.0
115,67,318.0
115,21,588.0
116,67,318.0
116,21,588.0
117,21,588.0
117,67,318.0
118,21,512.0
118,67,318.0
119,21,512.0
119,67,318.0
120,21,512.0
120,67,318.0
121,21,572.0
121,67,318.0
122,67,318.0
122,21,572.0
123,21,572.0
123,67,318.0
124,21,518.0
124,67,318.0
125,21,518.0
125,67,318.0
126,21,518.0
126,67,318.0
127,67,318.0
127,3,601.0
127,21,244.0
128,67,318.0
128,3,601.0
128,21,244.0
129,3,601.0
129,21,244.0
129,67,318.0
130,3,553.0
130,21,244.0
130,67,318.0
131,67,318.0
131,3,553.0
131,21,244.0
132,67,318.0
132,3,553.0
132,21,244.0
133,21,582.0
133,67,318.0
134,21,557.0
134,67,318.0
135,67,318.0
135,21,600.0
136,67,643.0
140,21,620.0
140,67,318.0
141,67,318.0
141,21,603.0
142,21,586.0
142,67,318.0
145,21,591.0
145,67,318.0
146,21,588.0
146,67,318.0
147,21,512.0
147,67,318.0
148,21,572.0
148,67,318.0
149,67,318.0
149,21,518.0
150,3,601.0
150,21,244.0
150,67,318.0
151,3,553.0
151,21,244.0
151,67,318.0
156,67,519.0
156,21,318.0
157,67,556.0
157,21,318.0
158,21,318.0
158,67,517.0
159,67,584.0
159,21,318.0
162,67,586.0
162,21,318.0
163,67,711.0
163,21,318.0
169,3,601.0
170,3,553.0
179,67,519.0
179,21,318.0
180,21,318.0
180,67,519.0
181,67,556.0
181,21,318.0
182,67,556.0
182,21,318.0
183,67,517.0
183,21,318.0
184,67,517.0
184,21,318.0
185,67,584.0
185,21,318.0
186,67,584.0
186,21,318.0
191,21,318.0
191,67,586.0
192,67,586.0
192,21,318.0
193,67,711.0
193,21,318.0
194,67,711.0
194,21,318.0
205,3,601.0
206,3,601.0
207,3,553.0
208,3,553.0
209,67,318.0
209,21,582.0
210,21,557.0
210,67,318.0
211,21,600.0
211,67,318.0
212,67,643.0
217,21,620.0
217,67,318.0
218,21,603.0
218,67,318.0
219,67,318.0
219,21,586.0
221,67,318.0
221,21,591.0
222,21,588.0
222,67,318.0
223,21,512.0
223,67,318.0
224,21,572.0
224,67,318.0
225,21,518.0
225,67,318.0
226,3,601.0
226,21,244.0
226,67,318.0
227,67,318.0
227,3,553.0
227,21,244.0
228,21,582.0
228,67,318.0
229,21,557.0
229,67,318.0
230,21,600.0
230,67,318.0
231,67,643.0
236,67,318.0
236,21,620.0
237,67,318.0
237,21,603.0
238,21,586.0
238,67,318.0
240,21,591.0
240,67,318.0
241,21,588.0
241,67,318.0
242,21,512.0
242,67,318.0
243,21,572.0
243,67,318.0
244,21,518.0
244,67,318.0
245,67,318.0
245,3,601.0
245,21,244.0
246,3,553.0
246,21,244.0
246,67,318.0
255,67,519.0
255,21,318.0
256,67,519.0
256,21,318.0
257,21,318.0
257,67,556.0
258,21,318.0
258,67,556.0
259,67,517.0
259,21,318.0
260,67,517.0
260,21,318.0
261,67,584.0
261,21,318.0
262,67,584.0
262,21,318.0
269,67,586.0
269,21,318.0
270,21,318.0
270,67,586.0
271,67,711.0
271,21,318.0
272,67,711.0
272,21,318.0
281,3,601.0
282,3,601.0
283,3,553.0
284,3,553.0
289,67,519.0
289,21,318.0
290,21,318.0
290,67,556.0
291,67,517.0
291,21,318.0
292,67,584.0
292,21,318.0
296,67,586.0
296,21,318.0
297,67,711.0
297,21,318.0
302,3,601.0
303,3,553.0
308,21,318.0
308,67,519.0
309,67,556.0
309,21,318.0
310,67,517.0
310,21,318.0
311,67,584.0
311,21,318.0
315,67,586.0
315,21,318.0
316,67,711.0
316,21,318.0
321,3,601.0
322,3,553.0
327,67,519.0
327,21,318.0
328,67,556.0
328,21,318.0
329,67,517.0
329,21,318.0
330,67,584.0
330,21,318.0
334,67,586.0
334,21,318.0
335,21,318.0
335,67,711.0
340,3,601.0
341,3,553.0
342,3,539.0
343,3,564.0
344,3,521.0
345,3,733.0
346,67,519.0
346,21,318.0
346,3,244.0
347,21,318.0
347,3,244.0
347,67,556.0
348,67,517.0
348,21,318.0
348,3,244.0
349,67,584.0
349,21,318.0
349,3,244.0
350,3,492.0
351,3,441.0
352,3,458.0
353,3,244.0
353,21,318.0
353,67,586.0
354,67,711.0
354,21,318.0
354,3,244.0
355,3,558.0
356,3,561.0
357,3,532.0
358,3,577.0
359,3,603.0
361,3,539.0
362,3,564.0
363,3,521.0
364,3,733.0
365,67,519.0
365,21,318.0
365,3,244.0
366,67,556.0
366,21,318.0
366,3,244.0
367,67,517.0
367,21,318.0
367,3,244.0
368,3,244.0
368,21,318.0
368,67,584.0
369,3,492.0
370,3,441.0
371,3,458.0
372,67,586.0
372,21,318.0
372,3,244.0
373,67,711.0
373,21,318.0
373,3,244.0
374,3,558.0
375,3,561.0
376,3,532.0
377,3,577.0
378,3,603.0
