path_id,refuel_at,fuel_km
0,18,145.0
1,18,120.0
3,18,163.0
4,51,233.0
4,18,104.0
4,19,88.0
5,51,233.0
5,18,104.0
5,19,88.0
6,17,229.0
6,18,39.0
6,67,239.0
6,44,207.0
7,67,239.0
7,18,39.0
7,17,229.0
7,44,207.0
8,44,207.0
8,32,132.0
8,18,39.0
8,17,229.0
8,67,122.0
8,34,22.0
9,67,122.0
9,44,207.0
9,17,229.0
9,32,132.0
9,18,39.0
9,34,22.0
10,17,229.0
10,44,207.0
10,18,39.0
10,67,237.0
11,17,229.0
11,18,39.0
11,44,207.0
11,67,237.0
12,34,182.0
12,67,122.0
12,17,229.0
12,18,39.0
12,44,207.0
13,34,182.0
13,17,229.0
13,18,39.0
13,44,207.0
13,67,122.0
14,11,208.0
15,18,107.0
15,11,208.0
16,11,44.0
16,4,135.0
17,4,135.0
17,18,107.0
17,11,44.0
18,11,174.0
19,11,174.0
19,18,107.0
20,17,229.0
20,34,184.0
20,44,207.0
20,67,122.0
20,18,39.0
21,17,229.0
21,67,122.0
21,34,184.0
21,18,39.0
21,44,207.0
22,17,229.0
22,44,207.0
22,18,39.0
22,34,125.0
22,70,184.0
22,67,122.0
23,70,184.0
23,34,125.0
23,17,229.0
23,67,122.0
23,18,39.0
23,44,207.0
25,18,164.0
27,18,167.0
28,19,120.0
28,18,104.0
29,18,104.0
29,19,120.0
31,18,157.0
32,18,39.0
32,17,120.0
33,18,39.0
33,17,120.0
34,11,162.0
34,72,216.0
35,72,216.0
35,18,107.0
35,11,162.0
36,72,168.0
36,11,162.0
37,11,162.0
37,18,107.0
37,72,168.0
39,18,120.0
40,51,233.0
40,19,88.0
40,18,104.0
41,17,229.0
41,67,239.0
41,18,39.0
41,44,207.0
42,34,22.0
42,32,132.0
42,18,39.0
42,17,229.0
42,67,122.0
42,44,207.0
43,17,229.0
43,18,39.0
43,67,237.0
43,44,207.0
44,18,39.0
44,67,122.0
44,17,229.0
44,44,207.0
44,34,182.0
45,11,208.0
46,4,135.0
46,11,44.0
47,11,174.0
48,67,122.0
48,34,184.0
48,17,229.0
48,44,207.0
48,18,39.0
49,70,184.0
49,34,125.0
49,44,207.0
49,67,122.0
49,18,39.0
49,17,229.0
52,18,104.0
52,19,120.0
54,18,39.0
54,17,120.0
55,72,216.0
55,11,162.0
56,72,168.0
56,11,162.0
57,19,104.0
57,51,88.0
57,18,145.0
58,18,120.0
58,19,104.0
58,51,88.0
59,19,104.0
59,51,88.0
59,18,163.0
60,63,129.0
60,67,239.0
61,63,129.0
61,34,22.0
61,67,122.0
61,32,132.0
62,67,237.0
62,63,129.0
63,34,182.0
63,67,122.0
63,63,129.0
64,51,88.0
64,19,228.0
65,51,88.0
65,19,211.0
66,19,194.0
66,51,88.0
67,67,122.0
67,34,184.0
67,63,129.0
68,70,184.0
68,34,125.0
68,63,129.0
68,67,122.0
69,51,88.0
69,18,164.0
69,19,104.0
70,19,104.0
70,18,167.0
70,51,88.0
71,51,88.0
71,19,120.0
72,19,104.0
72,18,157.0
72,51,88.0
73,19,104.0
73,51,88.0
73,18,39.0
73,17,120.0
74,19,106.0
