trip_id,node_id,node_seq
1,1,1
1,76,2
1,75,3
1,2,4
1,74,5
1,73,6
1,72,7
1,71,8
1,3,9
1,11,10
1,40,11
1,12,12
2,1,1
2,76,2
2,75,3
2,2,4
2,74,5
2,73,6
2,72,7
2,71,8
2,3,9
2,11,10
2,40,11
2,12,12
2,13,13
3,1,1
3,76,2
3,75,3
3,2,4
3,74,5
3,73,6
3,72,7
3,71,8
3,3,9
3,11,10
3,40,11
3,12,12
3,13,13
3,14,14
4,1,1
4,76,2
4,75,3
4,2,4
4,74,5
4,73,6
4,72,7
4,71,8
4,3,9
4,11,10
4,40,11
4,12,12
4,13,13
4,14,14
4,15,15
5,1,1
5,76,2
5,75,3
5,2,4
5,74,5
5,73,6
5,72,7
5,71,8
5,3,9
5,11,10
5,40,11
5,12,12
5,13,13
5,14,14
5,15,15
5,16,16
6,1,1
6,76,2
6,75,3
6,2,4
6,74,5
6,73,6
6,72,7
6,71,8
6,3,9
6,11,10
6,40,11
6,12,12
6,13,13
6,18,14
6,17,15
7,1,1
7,76,2
7,75,3
7,2,4
7,74,5
7,73,6
7,72,7
7,71,8
7,3,9
7,11,10
7,40,11
7,12,12
7,13,13
7,18,14
8,1,1
8,76,2
8,75,3
8,2,4
8,74,5
8,73,6
8,72,7
8,71,8
8,3,9
8,4,10
8,5,11
8,6,12
8,49,13
8,19,14
9,1,1
9,76,2
9,75,3
9,2,4
10,1,1
10,76,2
10,75,3
10,2,4
10,74,5
10,73,6
10,72,7
10,71,8
10,3,9
10,4,10
10,5,11
10,6,12
10,49,13
10,19,14
10,50,15
10,23,16
10,51,17
10,24,18
10,52,19
10,53,20
10,54,21
10,25,22
11,1,1
11,76,2
11,75,3
11,2,4
11,74,5
11,73,6
11,72,7
11,71,8
11,3,9
11,4,10
11,5,11
11,6,12
11,49,13
11,19,14
11,20,15
11,21,16
11,43,17
11,44,18
11,45,19
11,46,20
11,47,21
11,48,22
11,22,23
11,67,24
11,68,25
11,27,26
11,28,27
11,29,28
12,1,1
12,76,2
12,75,3
12,2,4
12,74,5
12,73,6
12,72,7
12,71,8
12,3,9
12,4,10
12,5,11
12,6,12
12,49,13
12,19,14
12,20,15
12,21,16
12,43,17
12,44,18
12,45,19
12,46,20
12,47,21
12,48,22
12,22,23
12,67,24
12,68,25
12,27,26
12,38,27
12,35,28
12,34,29
12,32,30
12,31,31
13,1,1
13,76,2
13,75,3
13,2,4
13,74,5
13,73,6
13,72,7
13,71,8
13,3,9
13,4,10
13,5,11
13,6,12
13,49,13
13,19,14
13,20,15
13,21,16
13,43,17
13,44,18
13,45,19
13,46,20
13,47,21
13,48,22
13,22,23
13,67,24
13,68,25
13,27,26
13,38,27
13,35,28
13,34,29
13,33,30
14,1,1
14,76,2
14,75,3
14,2,4
14,74,5
14,73,6
14,72,7
14,71,8
14,3,9
14,4,10
14,5,11
14,6,12
14,49,13
14,19,14
14,20,15
14,21,16
14,43,17
14,44,18
14,45,19
14,46,20
14,47,21
14,48,22
14,22,23
14,67,24
14,68,25
14,27,26
14,38,27
14,35,28
15,1,1
15,76,2
15,75,3
15,2,4
15,74,5
15,73,6
15,72,7
15,71,8
15,3,9
15,4,10
15,5,11
15,6,12
15,49,13
15,19,14
15,20,15
15,21,16
15,43,17
15,44,18
