trip_id,arc_seq,arc_id,from_node_id,to_node_id
1,1,1,1,76
1,2,2,76,75
1,3,3,75,2
1,4,4,2,74
1,5,5,74,73
1,6,6,73,72
1,7,7,72,71
1,8,8,71,3
1,9,10,3,11
1,10,17,11,40
1,11,18,40,12
2,1,1,1,76
2,2,2,76,75
2,3,3,75,2
2,4,4,2,74
2,5,5,74,73
2,6,6,73,72
2,7,7,72,71
2,8,8,71,3
2,9,10,3,11
2,10,17,11,40
2,11,18,40,12
2,12,19,12,13
3,1,1,1,76
3,2,2,76,75
3,3,3,75,2
3,4,4,2,74
3,5,5,74,73
3,6,6,73,72
3,7,7,72,71
3,8,8,71,3
3,9,10,3,11
3,10,17,11,40
3,11,18,40,12
3,12,19,12,13
3,13,20,13,14
4,1,1,1,76
4,2,2,76,75
4,3,3,75,2
4,4,4,2,74
4,5,5,74,73
4,6,6,73,72
4,7,7,72,71
4,8,8,71,3
4,9,10,3,11
4,10,17,11,40
4,11,18,40,12
4,12,19,12,13
4,13,20,13,14
4,14,21,14,15
5,1,1,1,76
5,2,2,76,75
5,3,3,75,2
5,4,4,2,74
5,5,5,74,73
5,6,6,73,72
5,7,7,72,71
5,8,8,71,3
5,9,10,3,11
5,10,17,11,40
5,11,18,40,12
5,12,19,12,13
5,13,20,13,14
5,14,21,14,15
5,15,22,15,16
6,1,1,1,76
6,2,2,76,75
6,3,3,75,2
6,4,4,2,74
6,5,5,74,73
6,6,6,73,72
6,7,7,72,71
6,8,8,71,3
6,9,10,3,11
6,10,17,11,40
6,11,18,40,12
6,12,19,12,13
6,13,25,13,18
6,14,26,18,17
7,1,1,1,76
7,2,2,76,75
7,3,3,75,2
7,4,4,2,74
7,5,5,74,73
7,6,6,73,72
7,7,7,72,71
7,8,8,71,3
7,9,10,3,11
7,10,17,11,40
7,11,18,40,12
7,12,19,12,13
7,13,25,13,18
8,1,1,1,76
8,2,2,76,75
8,3,3,75,2
8,4,4,2,74
8,5,5,74,73
8,6,6,73,72
8,7,7,72,71
8,8,8,71,3
8,9,9,3,4
8,10,12,4,5
8,11,13,5,6
8,12,29,6,49
8,13,30,49,19
9,1,1,1,76
9,2,2,76,75
9,3,3,75,2
10,1,1,1,76
10,2,2,76,75
10,3,3,75,2
10,4,4,2,74
10,5,5,74,73
10,6,6,73,72
10,7,7,72,71
10,8,8,71,3
10,9,9,3,4
10,10,12,4,5
10,11,13,5,6
10,12,29,6,49
10,13,30,49,19
10,14,43,19,50
10,15,44,50,23
10,16,45,23,51
10,17,46,51,24
10,18,81,24,52
10,19,47,52,53
10,20,48,53,54
10,21,49,54,25
11,1,1,1,76
11,2,2,76,75
11,3,3,75,2
11,4,4,2,74
11,5,5,74,73
11,6,6,73,72
11,7,7,72,71
11,8,8,71,3
11,9,9,3,4
11,10,12,4,5
11,11,13,5,6
11,12,29,6,49
11,13,30,49,19
11,14,31,19,20
11,15,32,20,21
11,16,33,21,43
11,17,34,43,44
11,18,35,44,45
11,19,36,45,46
11,20,37,46,47
11,21,38,47,48
11,22,39,48,22
11,23,64,22,67
11,24,65,67,68
11,25,66,68,27
11,26,67,27,28
11,27,68,28,29
12,1,1,1,76
12,2,2,76,75
12,3,3,75,2
12,4,4,2,74
12,5,5,74,73
12,6,6,73,72
12,7,7,72,71
12,8,8,71,3
12,9,9,3,4
12,10,12,4,5
12,11,13,5,6
12,12,29,6,49
12,13,30,49,19
12,14,31,19,20
12,15,32,20,21
12,16,33,21,43
12,17,34,43,44
12,18,35,44,45
12,19,36,45,46
12,20,37,46,47
12,21,38,47,48
12,22,39,48,22
12,23,64,22,67
12,24,65,67,68
12,25,66,68,27
12,26,70,27,38
12,27,71,38,35
12,28,72,35,34
12,29,74,34,32
12,30,75,32,31
13,1,1,1,76
13,2,2,76,75
13,3,3,75,2
13,4,4,2,74
13,5,5,74,73
13,6,6,73,72
13,7,7,72,71
13,8,8,71,3
13,9,9,3,4
13,10,12,4,5
13,11,13,5,6
13,12,29,6,49
13,13,30,49,19
13,14,31,19,20
13,15,32,20,21
13,16,33,21,43
13,17,34,43,44
13,18,35,44,45
13,19,36,45,46
13,20,37,46,47
13,21,38,47,48
13,22,39,48,22
13,23,64,22,67
13,24,65,67,68
13,25,66,68,27
13,26,70,27,38
13,27,71,38,35
13,28,72,35,34
13,29,73,34,33
14,1,1,1,76
14,2,2,76,75
14,3,3,75,2
14,4,4,2,74
14,5,5,74,73
14,6,6,73,72
14,7,7,72,71
14,8,8,71,3
14,9,9,3,4
14,10,12,4,5
14,11,13,5,6
14,12,29,6,49
14,13,30,49,19
14,14,31,19,20
14,15,32,20,21
14,16,33,21,43
14,17,34,43,44
14,18,35,44,45
14,19,36,45,46
14,20,37,46,47
14,21,38,47,48
14,22,39,48,22
14,23,64,22,67
14,24,65,67,68
14,25,66,68,27
14,26,70,27,38
14,27,71,38,35
15,1,1,1,76
15,2,2,76,75
15,3,3,75,2
15,4,4,2,74
15,5,5,74,73
15,6,6,73,72
15,7,7,72,71
15,8,8,71,3
15,9,9,3,4
15,10,12,4,5
15,11,13,5,6
15,12,29,6,49
15,13,30,49,19
15,14,31,19,20
15,15,32,20,21
15,16,33,21,43
15,17,34,43,44
15,18,35,44,45
15,19,36,45,46
15,20,37,46,47
15,21,38,47,48
15,22,39,48,22
15,23,64,22,67
15,24,65,67,68
15,25,66,68,27
15,26,70,27,38
15,27,71,38,35
15,28,72,35,34
15,29,82,34,36
15,30,77,36,37
16,1,1,1,76
16,2,2,76,75
16,3,3,75,2
16,4,4,2,74
16,5,5,74,73
16,6,6,73,72
16,7,7,72,71
16,8,8,71,3
16,9,9,3,4
16,10,12,4,5
16,11,13,5,6
16,12,29,6,49
16,13,30,49,19
16,14,31,19,20
16,15,32,20,21
16,16,33,21,43
16,17,34,43,44
16,18,35,44,45
16,19,36,45,46
16,20,37,46,47
16,21,38,47,48
16,22,39,48,22
16,23,64,22,67
16,24,65,67,68
16,25,66,68,27
16,26,70,27,38
16,27,71,38,35
16,28,72,35,34
16,29,73,34,33
16,30,79,33,70
16,31,80,70,39
17,1,1,1,76
17,2,2,76,75
17,3,3,75,2
17,4,4,2,74
17,5,5,74,73
17,6,6,73,72
17,7,7,72,71
17,8,8,71,3
17,9,9,3,4
17,10,12,4,5
18,1,1,1,76
18,2,2,76,75
18,3,3,75,2
18,4,4,2,74
18,5,5,74,73
18,6,6,73,72
18,7,7,72,71
18,8,8,71,3
18,9,9,3,4
18,10,12,4,5
18,11,13,5,6
19,1,1,1,76
19,2,2,76,75
19,3,3,75,2
19,4,4,2,74
19,5,5,74,73
19,6,6,73,72
19,7,7,72,71
19,8,8,71,3
19,9,9,3,4
19,10,12,4,5
19,11,13,5,6
19,12,14,6,7
20,1,18,12,40
20,2,17,40,11
20,3,10,11,3
20,4,8,3,71
20,5,7,71,72
20,6,6,72,73
20,7,5,73,74
20,8,4,74,2
20,9,3,2,75
20,10,2,75,76
20,11,1,76,1
21,1,19,12,13
22,1,19,12,13
22,2,20,13,14
23,1,19,12,13
23,2,20,13,14
23,3,21,14,15
24,1,19,12,13
24,2,20,13,14
24,3,21,14,15
24,4,22,15,16
25,1,19,12,13
25,2,25,13,18
25,3,26,18,17
26,1,19,12,13
26,2,25,13,18
27,1,19,12,13
27,2,25,13,18
27,3,86,18,20
27,4,31,20,19
28,1,18,12,40
28,2,17,40,11
28,3,10,11,3
28,4,8,3,71
28,5,7,71,72
28,6,6,72,73
28,7,5,73,74
28,8,4,74,2
29,1,19,12,13
29,2,25,13,18
29,3,86,18,20
29,4,31,20,19
29,5,43,19,50
29,6,44,50,23
29,7,45,23,51
29,8,46,51,24
29,9,81,24,52
29,10,47,52,53
29,11,48,53,54
29,12,49,54,25
30,1,19,12,13
30,2,25,13,18
30,3,26,18,17
30,4,27,17,42
30,5,28,42,21
30,6,33,21,43
30,7,34,43,44
30,8,35,44,45
30,9,36,45,46
30,10,37,46,47
30,11,38,47,48
30,12,39,48,22
30,13,64,22,67
30,14,65,67,68
30,15,66,68,27
30,16,67,27,28
30,17,68,28,29
31,1,19,12,13
31,2,25,13,18
31,3,26,18,17
31,4,27,17,42
31,5,28,42,21
31,6,33,21,43
31,7,34,43,44
31,8,35,44,45
31,9,36,45,46
31,10,37,46,47
31,11,38,47,48
31,12,39,48,22
31,13,64,22,67
31,14,65,67,68
31,15,66,68,27
31,16,70,27,38
31,17,71,38,35
31,18,72,35,34
31,19,74,34,32
31,20,75,32,31
32,1,19,12,13
32,2,25,13,18
32,3,26,18,17
32,4,27,17,42
32,5,28,42,21
32,6,33,21,43
32,7,34,43,44
32,8,35,44,45
32,9,36,45,46
32,10,37,46,47
32,11,38,47,48
32,12,39,48,22
32,13,64,22,67
32,14,65,67,68
32,15,66,68,27
32,16,70,27,38
32,17,71,38,35
32,18,72,35,34
32,19,73,34,33
33,1,19,12,13
33,2,25,13,18
33,3,26,18,17
33,4,27,17,42
33,5,28,42,21
33,6,33,21,43
33,7,34,43,44
33,8,35,44,45
33,9,36,45,46
33,10,37,46,47
33,11,38,47,48
33,12,39,48,22
33,13,64,22,67
33,14,65,67,68
33,15,66,68,27
33,16,70,27,38
33,17,71,38,35
34,1,19,12,13
34,2,25,13,18
34,3,26,18,17
34,4,27,17,42
34,5,28,42,21
34,6,33,21,43
34,7,34,43,44
34,8,35,44,45
34,9,36,45,46
34,10,37,46,47
34,11,38,47,48
34,12,39,48,22
34,13,64,22,67
34,14,65,67,68
