MY,veh_type,veh_new_pop
2018,MD Package Delivery,6
2019,MD Package Delivery,38
2020,MD Package Delivery,69
2021,MD Package Delivery,100
2022,MD Package Delivery,131
2023,MD Package Delivery,162
2024,MD Package Delivery,194
2025,MD Package Delivery,225
2026,MD Package Delivery,256
2027,MD Package Delivery,288
2028,MD Package Delivery,319
2029,MD Package Delivery,350
2030,MD Package Delivery,381
2018,HD Port Drayage,9
2019,HD Port Drayage,56
2020,HD Port Drayage,103
2021,HD Port Drayage,150
2022,HD Port Drayage,197
2023,HD Port Drayage,244
2024,HD Port Drayage,291
2025,HD Port Drayage,338
2026,HD Port Drayage,384
2027,HD Port Drayage,431
2028,HD Port Drayage,478
2029,HD Port Drayage,525
2030,HD Port Drayage,572
2018,HD Transit Bus,3
2019,HD Transit Bus,19
2020,HD Transit Bus,34
2021,HD Transit Bus,50
2022,HD Transit Bus,66
2023,HD Transit Bus,81
2024,HD Transit Bus,97
2025,HD Transit Bus,112
2026,HD Transit Bus,128
2027,HD Transit Bus,144
2028,HD Transit Bus,159
2029,HD Transit Bus,175
2030,HD Transit Bus,191
2018,HD Other Drayage,6
2019,HD Other Drayage,38
2020,HD Other Drayage,69
2021,HD Other Drayage,100
2022,HD Other Drayage,131
2023,HD Other Drayage,162
2024,HD Other Drayage,194
2025,HD Other Drayage,225
2026,HD Other Drayage,256
2027,HD Other Drayage,288
2028,HD Other Drayage,319
2029,HD Other Drayage,350
2030,HD Other Drayage,381
