fleet_name,CY,daily_VMT_per_veh
Port Drayage Trucks at Port Oakland,2018,150
Port Drayage Trucks at Port Long Beach,2018,150
Port Drayage Trucks at Port Los Angeles,2018,150
Port Drayage Trucks at Port San Diego,2018,150
Port Drayage Trucks at Port Redwood City,2018,150
Port Drayage Trucks at Port San Francisco,2018,150
Port Drayage Trucks at Port Richmond,2018,150
Port Drayage Trucks at Port Hueneme,2018,150
Port Drayage Trucks at Port Stockton,2018,150
Trucks at Bob Hope (Burbank) Airport (BUR),2018,150
Trucks at Fresno Yosemite International Airport (FAT),2018,150
Trucks at John Wayne / Orange County Airport (SNA),2018,150
Trucks at Long Beach Municipal Airport (LGB),2018,150
Trucks at Los Angeles International Airport (LAX),2018,150
Trucks at Los Angeles Ontario International Airport (ONT),2018,150
Trucks at Norman Y. Mineta San Jos_ International Airport (SJC),2018,150
Trucks at Oakland International Airport (OAK),2018,150
Trucks at Sacramento International Airport (SMF),2018,150
Trucks at Sacramento Mather Airport (MHR),2018,150
Trucks at San Diego International Airport (SAN),2018,150
Trucks at San Francisco International Airport (SFO),2018,150
Truck Fleet at Ames Industrial Park,2018,150
Truck Fleet at Arch Road Logistics Center,2018,150
Truck Fleet at Beckman Industrial Park,2018,150
Truck Fleet at Broken Drum Industrial Park,2018,150
Truck Fleet at Buena Park Industrial Center,2018,150
Truck Fleet at California Logistics Centre,2018,150
Truck Fleet at Campbell Industrial Park,2018,150
Truck Fleet at Carmelo Industrial Park,2018,150
Truck Fleet at Central Valley Industrial Park,2018,150
Truck Fleet at Charter Industrial Area,2018,150
Truck Fleet at Cherokee Industrial Park,2018,150
Truck Fleet at Collins Industrial Park,2018,150
Truck Fleet at Concord Diablo Industrial Park,2018,150
Truck Fleet at Concord Industrial Park,2018,150
Truck Fleet at Conti Industrial Park,2018,150
Truck Fleet at Corona Industrial Park,2018,150
Truck Fleet at Cupertino Industrial Park,2018,150
Truck Fleet at Delta Court Industrial Park,2018,150
Truck Fleet at Diablo Industrial Park,2018,150
Truck Fleet at Edgewater Industrial Center,2018,150
Truck Fleet at El Pinal Industrial Park,2018,150
Truck Fleet at Enterprise Distribution Center,2018,150
Truck Fleet at Fairgrounds Industrial Park,2018,150
Truck Fleet at Fremont Industrial Park,2018,150
Truck Fleet at Giant Trade Center,2018,150
Truck Fleet at Gladstone Industrial Park,2018,150
Truck Fleet at Goldring Industrial Park,2018,150
Truck Fleet at Grant Industrial Park,2018,150
Truck Fleet at Hayman Street Industrial Complex,2018,150
Truck Fleet at Hensley Industrial Park,2018,150
Truck Fleet at Hesperian Industrial Park,2018,150
Truck Fleet at Hilltop Industrial Park,2018,150
Truck Fleet at Koll Arden Industrial Center,2018,150
Truck Fleet at La Cienega Industrial Park,2018,150
Truck Fleet at Lathrop Industrial Park,2018,150
Truck Fleet at Los Angeles Industrial Park,2018,150
Truck Fleet at Mabury Industrial Park,2018,150
Truck Fleet at MacArthur Industrial Park,2018,150
Truck Fleet at Manteca Industrial Park,2018,150
Truck Fleet at Mason Industrial Park,2018,150
Truck Fleet at Massie Industrial Park,2018,150
Truck Fleet at Milpitas Industrial Park,2018,150
Truck Fleet at Monrovia Industrial Park,2018,150
Truck Fleet at North County Industrial Park,2018,150
Truck Fleet at North Hayward Industrial Park,2018,150
Truck Fleet at Oakmead Industrial Park,2018,150
Truck Fleet at Rancho Sierra Industrial Park,2018,150
Truck Fleet at Rheem Industrial Park,2018,150
Truck Fleet at Saticoy Industrial Park,2018,150
Truck Fleet at Shary Industrial Park,2018,150
Truck Fleet at Stonebridge Industrial Park,2018,150
Truck Fleet at Sycamore Industrial Park,2018,150
Truck Fleet at Torrey Knolls Industrial Park,2018,150
Truck Fleet at Triangle Industrial Park,2018,150
Truck Fleet at Victory Industrial Park,2018,150
Truck Fleet at Walnut Industrial Park,2018,150
Truck Fleet at West Park Logistics Center,2018,150
Truck Fleet at Westminster Industrial Center,2018,150
Truck Fleet at Whitehall Industrial Park,2018,150
Truck Fleet at Wiegman Distribution Center,2018,150
Truck Fleet at Williams Street Industrial Park,2018,150
Truck Fleet at Winton Industrial Center,2018,150
Truck Fleet at Winton Logistics Center,2018,150
Truck Fleet at Wrigley Creek Industrial Park,2018,150
Truck Fleet at Zanker/Charcot Industrial Park,2018,150
Truck Fleet at Centerpoint Intermodal Center,2018,150
Truck Fleet at Fairchild Industrial Park,2018,150
Truck Fleet at Old River Industrial Park,2018,150
Truck Fleet at ProLogis Park Duck Creek,2018,150
Santa Monica Big Blue Bus,2018,150
Fresno Area Express,2018,150
Santa Barbara Metropolitan Transit District,2018,150
Santa Cruz Metropolitan Transit District,2018,150
Monterey-Salinas Transit,2018,150
Santa Clarita Transit,2018,150
Fresno County Rural Transit Agency,2018,150
Los Angeles County MTA Division 1,2018,150
Los Angeles County MTA Division 2,2018,150
Los Angeles County MTA Division 3,2018,150
Los Angeles County MTA Division 5,2018,150
Los Angeles County MTA Division 6,2018,150
Los Angeles County MTA Division 7,2018,150
Los Angeles County MTA Division 8,2018,150
Los Angeles County MTA Division 9,2018,150
Los Angeles County MTA Division 10,2018,150
Los Angeles County MTA Division 11,2018,150
Los Angeles County MTA Division 13,2018,150
Los Angeles County MTA Division 15,2018,150
Los Angeles County MTA Division 18,2018,150
Orange County Transportation Authority Garden Grove,2018,150
Orange County Transportation Authority Santa Ana,2018,150
San Diego Metropolitan Transit System Imperial Avenue Division,2018,150
San Diego Metropolitan Transit System Kearny Mesa Division,2018,150
San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,2018,150
San Diego Metropolitan Transit System East County Bus Maintenance Facility,2018,150
San Diego Metropolitan Transit System Copley Park Maintenance Facility,2018,150
Alameda/Contra Costa Transit District Emeryville Division,2018,150
Alameda/Contra Costa Transit District Richmond Division,2018,150
Alameda/Contra Costa Transit District East Oakland Division,2018,150
Alameda/Contra Costa Transit District Hayward Division,2018,150
Santa Clara Valley Transportation Authority - Chaboya Division,2018,150
Santa Clara Valley Transportation Authority - Cerone Division,2018,150
Santa Clara Valley Transportation Authority - North Division,2018,150
San Mateo County Transit District North Base,2018,150
San Mateo County Transit District South Base,2018,150
Sacramento Regional Transit District,2018,150
Golden Gate Transit - San Rafael,2018,150
Golden Gate Transit - Santa Rosa,2018,150
Golden Gate Transit - Novato,2018,150
Golden Gate Transit - San Francisco,2018,150
Riverside Transit Agency - Riverside Division,2018,150
Riverside Transit Agency -  Hemet Division,2018,150
Delivery Fleet at UPS CC - BAKERSFIELD 11318,2018,150
Delivery Fleet at UPS CC - MOJAVE 11497,2018,150
Delivery Fleet at UPS CC - LANCASTER 11492,2018,150
Delivery Fleet at UPS CC - VISALIA 11321,2018,150
Delivery Fleet at UPS CC - RIDGECREST 11496,2018,150
Delivery Fleet at UPS CC - VENTURA 11485,2018,150
Delivery Fleet at UPS CC - GOLETA 11489,2018,150
Delivery Fleet at UPS CC - NEWBURY PARK 11481,2018,150
Delivery Fleet at UPS CC - SYLMAR 11031,2018,150
Delivery Fleet at UPS CC - VAN NUYS 11021,2018,150
Delivery Fleet at UPS CC - SANTA MARIA 11494,2018,150
Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,2018,150
Delivery Fleet at UPS CC LOS ANGELES 11026,2018,150
Delivery Fleet at UPS CC - LOS ANGELES 11022,2018,150
Delivery Fleet at UPS CC - LOS ANGELES 11023,2018,150
Delivery Fleet at UPS CC - FRESNO 11317,2018,150
Delivery Fleet at UPS CC - BALDWIN PARK 11024,2018,150
