O_County,D_County,LCV_SHT_OFF,MCV_SHT_OFF,HCV_SHT_OFF,HCV_LD_OFF,MCV_EXT_OFF,HCV_EXT_OFF,LCV_SHT_AM,MCV_SHT_AM,HCV_SHT_AM,HCV_LD_AM,MCV_EXT_AM,HCV_EXT_AM,LCV_SHT_MID,MCV_SHT_MID,HCV_SHT_MID,HCV_LD_MID,MCV_EXT_MID,HCV_EXT_MID,LCV_SHT_PM,MCV_SHT_PM,HCV_SHT_PM,HCV_LD_PM,MCV_EXT_PM,HCV_EXT_PM
      1.00,      1.00,  26768.00,  71271.00,  32954.00,         0,         0,         0,  25278.00,  21140.00,  10443.00,         0,         0,         0,  55563.00,  58877.00,  22077.00,         0,         0,         0,  31097.00,  46288.00,  16407.00,         0,         0,         0
      1.00,      2.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,      3.00,         0,         0,         0,      2.40,         0,         0,         0,         0,         0,      0.90,         0,         0,         0,         0,         0,      2.10,         0,         0,         0,         0,         0,      0.60,         0,         0
      1.00,      4.00,         0,         0,         0,     27.20,         0,         0,         0,         0,         0,     10.20,         0,         0,         0,         0,         0,     23.80,         0,         0,         0,         0,         0,      6.80,         0,         0
      1.00,      5.00,         0,         0,         0,      3.20,         0,         0,         0,         0,         0,      1.20,         0,         0,         0,         0,         0,      2.80,         0,         0,         0,         0,         0,      0.80,         0,         0
      1.00,      6.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,      7.00,   1909.00,   3244.00,   1758.00,         0,         0,         0,   2007.00,   1894.00,   1043.00,         0,         0,         0,   3666.00,   3459.00,   2252.00,         0,         0,         0,   2083.00,   2329.00,   1348.00,         0,         0,         0
      1.00,      8.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,      9.00,         0,         0,         0,      6.40,         0,         0,         0,         0,         0,      2.40,         0,         0,         0,         0,         0,      5.60,         0,         0,         0,         0,         0,      1.60,         0,         0
      1.00,     10.00,         0,         0,         0,    106.00,         0,         0,         0,         0,         0,     39.75,         0,         0,         0,         0,         0,     92.75,         0,         0,         0,         0,         0,     26.50,         0,         0
      1.00,     11.00,         0,         0,         0,      4.40,         0,         0,         0,         0,         0,      1.65,         0,         0,         0,         0,         0,      3.85,         0,         0,         0,         0,         0,      1.10,         0,         0
      1.00,     12.00,         0,         0,         0,     16.80,         0,         0,         0,         0,         0,      6.30,         0,         0,         0,         0,         0,     14.70,         0,         0,         0,         0,         0,      4.20,         0,         0
      1.00,     13.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     14.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     15.00,         0,         0,         0,     60.00,         0,         0,         0,         0,         0,     22.50,         0,         0,         0,         0,         0,     52.50,         0,         0,         0,         0,         0,     15.00,         0,         0
      1.00,     16.00,         0,         0,         0,      6.40,         0,         0,         0,         0,         0,      2.40,         0,         0,         0,         0,         0,      5.60,         0,         0,         0,         0,         0,      1.60,         0,         0
      1.00,     17.00,         0,         0,         0,      1.60,         0,         0,         0,         0,         0,      0.60,         0,         0,         0,         0,         0,      1.40,         0,         0,         0,         0,         0,      0.40,         0,         0
      1.00,     18.00,         0,         0,         0,      1.60,         0,         0,         0,         0,         0,      0.60,         0,         0,         0,         0,         0,      1.40,         0,         0,         0,         0,         0,      0.40,         0,         0
      1.00,     19.00,         0,         0,         0,    197.60,         0,         0,         0,         0,         0,     74.10,         0,         0,         0,         0,         0,    172.90,         0,         0,         0,         0,         0,     49.40,         0,         0
      1.00,     20.00,         0,         0,         0,     15.20,         0,         0,         0,         0,         0,      5.70,         0,         0,         0,         0,         0,     13.30,         0,         0,         0,         0,         0,      3.80,         0,         0
      1.00,     21.00,    152.00,    278.00,    137.00,      5.20,         0,         0,    143.00,    254.00,    159.00,      1.95,         0,         0,    265.00,    430.00,    256.00,      4.55,         0,         0,    179.00,    277.00,    144.00,      1.30,         0,         0
      1.00,     22.00,         0,         0,         0,      0.80,         0,         0,         0,         0,         0,      0.30,         0,         0,         0,         0,         0,      0.70,         0,         0,         0,         0,         0,      0.20,         0,         0
      1.00,     23.00,         0,         0,         0,      7.60,         0,         0,         0,         0,         0,      2.85,         0,         0,         0,         0,         0,      6.65,         0,         0,         0,         0,         0,      1.90,         0,         0
      1.00,     24.00,         0,         0,         0,     36.00,         0,         0,         0,         0,      1.00,     13.50,         0,         0,         0,      1.00,      1.00,     31.50,         0,         0,         0,         0,         0,      9.00,         0,         0
      1.00,     25.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     26.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     27.00,         0,      2.00,      4.00,    129.20,         0,         0,         0,      9.00,      1.00,     48.45,         0,         0,      1.00,     14.00,      7.00,    113.05,         0,         0,         0,      4.00,      1.00,     32.30,         0,         0
      1.00,     28.00,     84.00,     81.00,     54.00,     28.40,         0,         0,     41.00,     65.00,     52.00,     10.65,         0,         0,     70.00,    132.00,    107.00,     24.85,         0,         0,     56.00,     80.00,     57.00,      7.10,         0,         0
      1.00,     29.00,         0,         0,         0,      9.60,         0,         0,         0,         0,         0,      3.60,         0,         0,         0,         0,         0,      8.40,         0,         0,         0,         0,         0,      2.40,         0,         0
      1.00,     30.00,         0,         0,         0,     44.80,         0,         0,         0,         0,         0,     16.80,         0,         0,         0,         0,         0,     39.20,         0,         0,         0,         0,         0,     11.20,         0,         0
      1.00,     31.00,         0,         0,         0,     45.20,         0,         0,         0,         0,         0,     16.95,         0,         0,         0,         0,         0,     39.55,         0,         0,         0,         0,         0,     11.30,         0,         0
      1.00,     32.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     33.00,         0,         0,         0,     18.80,         0,         0,         0,         0,         0,      7.05,         0,         0,         0,         0,         0,     16.45,         0,         0,         0,         0,         0,      4.70,         0,         0
      1.00,     34.00,      1.00,      3.00,      2.00,    164.40,         0,         0,         0,      9.00,      3.00,     61.65,         0,         0,         0,     10.00,      3.00,    143.85,         0,         0,         0,      9.00,      3.00,     41.10,         0,         0
      1.00,     35.00,         0,      2.00,         0,      8.40,         0,         0,         0,         0,      1.00,      3.15,         0,         0,         0,      3.00,         0,      7.35,         0,         0,         0,      5.00,         0,      2.10,         0,         0
      1.00,     36.00,         0,         0,         0,     25.60,         0,         0,         0,         0,         0,      9.60,         0,         0,         0,         0,         0,     22.40,         0,         0,         0,         0,         0,      6.40,         0,         0
      1.00,     37.00,         0,         0,         0,     34.00,         0,         0,         0,         0,         0,     12.75,         0,         0,         0,         0,         0,     29.75,         0,         0,         0,         0,         0,      8.50,         0,         0
      1.00,     38.00,   1123.00,   1053.00,   2224.00,         0,         0,         0,   4753.00,    770.00,   4762.00,         0,         0,         0,   7191.00,   1624.00,   7613.00,         0,         0,         0,   2313.00,    831.00,   2961.00,         0,         0,         0
      1.00,     39.00,    429.00,    771.00,    476.00,     59.60,         0,         0,    247.00,    476.00,    241.00,     22.35,         0,         0,    408.00,    661.00,    445.00,     52.15,         0,         0,    289.00,    456.00,    268.00,     14.90,         0,         0
